time,train.loss,train.accuracy,train.time,val.loss,val.accuracy,val.time
2021-12-24 17:53:28.143570+00:00,2.805160974297682,0.26683184143222505,2.146924541168606,1.608169830298122,0.4162381329113924,0.06651638683519866
2021-12-24 18:07:33.219132+00:00,1.3863930493364554,0.49538842710997444,2.143221777124503,1.2124897626381885,0.5730814873417721,0.06140206989489103
2021-12-24 18:21:36.939331+00:00,1.0332937092732286,0.6312060421994885,2.142990133197037,1.092455514624149,0.6602056962025317,0.061402854166532815
2021-12-24 18:35:40.568608+00:00,0.8309480069238512,0.7057384910485934,2.1426262142731973,0.8194778599316561,0.7083662974683544,0.06140102210797762
2021-12-24 18:49:44.079133+00:00,0.6976355955271465,0.7530171035805626,2.1423447875632453,0.8422591316549084,0.7253757911392406,0.06140308003676565
2021-12-24 19:03:47.638135+00:00,0.5877086594129157,0.7951246803069054,2.1424488707916023,0.6405163256427909,0.7889636075949367,0.06142598076870567
2021-12-24 19:17:51.119780+00:00,0.4962805819785808,0.8286644820971867,2.142413801753644,0.7440124610556832,0.7823378164556962,0.06146551119653802
2021-12-24 19:31:54.573258+00:00,0.4339490847666855,0.8495244565217391,2.1423740374673272,0.5619469511358044,0.819620253164557,0.061402113814102974
2021-12-24 19:45:58.018919+00:00,0.38355879702836354,0.8664721867007672,2.1421633528679918,0.5371909156630311,0.8345530063291139,0.06142702855561909
2021-12-24 20:00:01.466609+00:00,0.33848127021509056,0.8821811061381074,2.142185605063881,0.4594618080160286,0.853243670886076,0.06147464325553492

